NP_062585.1	1	235	402
NP_062586.1	1	372	806
NP_062587.1	1	816	2210
NP_062588.1	1	2271	3896
NP_062589.1	1	3899	4156
NP_062590.1	1	4123	4479
NP_062591.1	1	4492	4629
NP_062592.1	1	4871	5608
NP_062593.1	1	5605	6276
NP_062594.1	1	6354	7100
NP_062596.1	1	7397	8815
NP_062597.1	1	8873	9973
NP_062598.1	1	9991	11082
NP_229675.2	1	11103	13520
NP_229676.1	1	14377	14493
NP_229677.1	1	14769	15206
NP_229678.1	1	15294	16550
NP_229679.1	1	16869	18935
NP_229680.2	1	18950	19867
NP_229681.1	1	20235	20837
NP_229682.1	1	20943	21200
NP_229683.1	1	21287	21535
NP_229684.1	1	21656	21856
NP_229685.1	1	22028	23008
NP_229686.1	1	23256	24788
NP_229687.1	1	24792	26633
NP_229688.1	1	26643	27602
NP_229689.1	1	27593	27877
NP_229690.1	1	27889	29535
NP_229691.1	1	30069	31592
NP_229692.1	1	31682	32566
NP_229693.1	1	32644	33246
NP_229694.2	1	33277	34263
NP_229695.2	1	34311	35735
NP_229696.1	1	36152	36430
NP_229697.1	1	36527	36694
NP_229698.1	1	36928	37770
NP_229699.1	1	37848	38495
NP_229700.1	1	38534	39190
NP_229701.1	1	39103	40548
NP_229702.1	1	40560	41936
NP_229703.1	1	41998	43302
NP_229704.1	1	43334	44281
NP_229705.1	1	44299	44808
NP_229706.1	1	44900	46075
NP_229707.1	1	46075	47190
NP_229708.1	1	47193	47669
NP_229709.1	1	47679	48251
NP_229710.1	1	48324	49457
NP_229711.1	1	49461	49946
NP_229713.1	1	50104	50670
NP_229714.1	1	50689	51606
NP_229715.1	1	51668	52504
NP_229716.1	1	52501	52776
NP_229717.1	1	52757	53311
NP_229718.1	1	53497	53637
NP_229719.1	1	59356	59736
NP_229720.1	1	59988	61925
NP_229721.1	1	61929	63251
NP_229722.1	1	63238	64014
NP_229723.2	1	64014	64214
NP_229724.1	1	64220	64990
NP_229725.1	1	64987	66099
NP_229726.1	1	66324	68117
NP_229727.1	1	68250	69233
NP_229728.1	1	69296	70498
NP_229729.1	1	70602	70886
NP_229730.1	1	70975	71436
NP_229731.1	1	71512	73818
NP_229732.2	1	73878	74663
NP_229733.1	1	74781	75170
NP_229734.1	1	75266	76153
NP_229735.1	1	76210	76635
NP_229736.1	1	76681	76776
NP_229737.1	1	76782	77327
NP_229738.1	1	77403	77726
NP_229739.1	1	77859	79055
NP_229740.1	1	79052	79963
NP_229741.1	1	80077	81618
NP_229742.1	1	81663	82445
NP_229743.1	1	82454	83077
NP_229744.1	1	83074	84708
NP_229745.1	1	84768	85016
NP_229746.1	1	85020	85421
NP_229747.1	1	85510	86262
NP_229748.1	1	86574	87575
NP_229749.1	1	87681	89045
NP_229750.1	1	89116	89985
NP_229751.1	1	90013	90642
NP_229752.2	1	90962	93388
NP_229753.1	1	93464	94318
NP_229754.1	1	94319	94870
NP_229755.1	1	94893	94991
NP_229756.1	1	95062	95472
NP_229757.1	1	95592	97571
NP_229758.1	1	97946	98779
NP_229759.1	1	98786	99106
NP_229762.1	1	99867	100634
NP_229764.1	1	100811	101854
NP_229765.1	1	101958	102389
NP_229767.1	1	103098	105902
NP_229770.1	1	106649	107311
NP_229771.1	1	107409	108080
NP_229772.1	1	108252	108920
NP_229773.1	1	108920	109468
NP_229774.1	1	109475	109966
NP_229775.1	1	110051	111493
NP_229776.1	1	111557	112753
NP_229777.1	1	112750	113949
NP_229778.1	1	113933	114715
NP_229779.1	1	114761	115714
NP_229780.1	1	115891	116037
NP_229781.1	1	116053	118584
NP_229782.1	1	118690	119004
NP_229783.1	1	119229	120482
NP_229784.2	1	120494	121324
NP_229785.1	1	121338	122036
NP_229786.1	1	122005	122940
NP_229787.1	1	122943	123662
NP_229788.1	1	123772	126261
NP_229789.1	1	126294	126890
NP_229790.1	1	126887	128431
NP_229792.1	1	128715	129542
NP_229793.1	1	129657	130673
NP_229794.1	1	130748	131365
NP_229795.2	1	131385	132611
NP_229797.1	1	132791	133261
NP_229798.1	1	133431	133760
NP_229800.1	1	133965	134333
NP_229801.1	1	134836	135093
NP_229802.1	1	135210	135839
NP_229803.1	1	135888	136154
NP_229804.1	1	136151	136750
NP_229805.1	1	136954	138129
NP_229806.1	1	138151	138852
NP_229807.1	1	138842	139834
NP_229808.1	1	140004	140864
NP_229809.1	1	141066	142466
NP_229810.1	1	142774	143415
NP_229811.1	1	143455	143826
NP_229812.1	1	143863	144972
NP_229813.1	1	145370	147205
NP_229814.1	1	147278	148885
NP_229815.1	1	149278	150075
NP_229816.1	1	150041	150499
NP_229818.1	1	156407	157303
NP_229819.1	1	157441	158925
NP_229820.1	1	159052	159303
NP_229821.1	1	159419	162529
NP_229822.1	1	162541	163647
NP_229823.1	1	163666	164262
NP_229824.1	1	164408	166423
NP_229825.1	1	166490	166897
NP_229826.1	1	168232	168399
NP_229827.1	1	168532	170247
NP_229828.2	1	170339	171895
NP_229829.1	1	171999	173027
NP_229830.1	1	173030	173968
NP_229831.1	1	174143	175090
NP_229832.1	1	175343	176941
NP_229833.1	1	177450	177758
NP_229834.1	1	177861	178424
NP_229835.1	1	179338	180405
NP_229836.1	1	180419	181729
NP_229837.1	1	181732	183486
NP_229838.1	1	183476	183946
NP_229839.1	1	183957	184388
NP_229840.1	1	184360	186471
NP_229841.1	1	186481	188169
NP_229842.1	1	188166	189380
NP_229843.1	1	189457	190821
NP_229844.1	1	190915	191754
NP_229845.1	1	192034	194076
NP_229847.1	1	194214	196385
NP_229848.1	1	197130	197798
NP_229849.1	1	197873	198685
NP_229851.1	1	198833	200599
NP_229852.1	1	200761	201669
NP_229853.2	1	201830	203665
NP_229854.1	1	203658	203957
NP_229855.1	1	204113	204490
NP_229856.1	1	204526	206361
NP_229857.1	1	206433	208589
NP_229858.2	1	208720	209505
NP_229859.1	1	209496	210455
NP_229860.1	1	210452	212413
NP_229861.1	1	212440	213288
NP_229862.1	1	213331	213522
NP_229863.1	1	213504	214421
NP_229864.1	1	214449	215897
NP_229865.1	1	216004	216492
NP_229866.1	1	216558	217424
NP_229867.2	1	217588	218304
NP_229868.2	1	218670	219311
NP_229869.1	1	219397	220374
NP_229870.1	1	220385	221341
NP_229871.2	1	221338	221928
NP_229872.1	1	222087	223286
NP_229873.1	1	223454	225148
NP_229874.1	1	225260	225934
NP_229875.1	1	226229	226465
NP_229876.1	1	226479	226646
NP_229877.1	1	226867	227355
NP_229878.1	1	227365	228174
NP_229879.1	1	228271	228765
NP_229880.1	1	228876	229913
NP_229881.1	1	229975	230754
NP_229882.1	1	230797	231870
NP_229884.1	1	231950	232705
NP_229885.1	1	232709	233668
NP_229886.1	1	233672	234601
NP_229887.1	1	234598	235341
NP_229888.1	1	235338	236921
NP_229889.1	1	236912	237292
NP_229890.1	1	237289	238608
NP_229891.1	1	238569	239357
NP_229892.1	1	239354	240403
NP_229893.1	1	240400	241440
NP_229894.1	1	241437	242636
NP_229895.1	1	242638	243204
NP_229896.1	1	243212	244984
NP_229897.1	1	245143	246087
NP_229898.2	1	246640	247926
NP_229899.1	1	247929	249320
NP_229900.1	1	249323	250444
NP_229901.1	1	250455	251558
NP_229902.1	1	251555	252946
NP_229903.1	1	252918	253712
NP_229904.1	1	253651	254466
NP_229905.1	1	254505	254747
NP_229906.1	1	254753	256168
NP_229907.1	1	256177	257301
NP_229908.1	1	257292	259769
NP_229909.1	1	259839	260405
NP_229911.1	1	262098	262319
NP_229912.1	1	262326	262670
NP_229913.1	1	262667	263539
NP_229915.2	1	264254	265366
NP_229916.1	1	265374	267239
NP_229918.1	1	267392	268363
NP_229919.1	1	268371	268925
NP_229920.1	1	269068	270435
NP_229921.1	1	270697	271935
NP_229922.1	1	271990	272562
NP_229923.1	1	272562	273485
NP_229924.2	1	273559	274146
NP_229925.1	1	274509	275708
NP_229926.1	1	275674	276654
NP_229927.1	1	277002	278060
NP_229929.1	1	278432	278704
NP_229930.1	1	278705	279439
NP_229931.1	1	279539	280828
NP_229932.1	1	280887	282479
NP_229933.1	1	282765	283166
